EnumKeyboardKey (phisical buttons),modifier value,description,SDL
,,"""F18""",
,,"""F19""",
,,"""F2""",
,,"""F20""",
,,"""F21""",
,,"""F22""",
,,"""F23""",
,,"""F24""",
,,"""F3""",
,,"""F4""",
,,"""F5""",
,,"""F6""",
,,"""F7""",
,,"""F8""",
,,"""F9""",
,,"""Find""",SDLK_FIND
,,,
,,"""`"" (Located in the top left corner (on both ANSI and ISO keyboards). Produces GRAVE ACCENT and TILDE in a US Windows layout and in US and UK Mac layouts on ANSI keyboards, GRAVE ACCENT and NOT SIGN in a UK Windows layout, SECTION SIGN and PLUS-MINUS SIGN in US and UK Mac layouts on ISO keyboards, SECTION SIGN and DEGREE SIGN in a Swiss German layout (Mac: only on ISO keyboards), CIRCUMFLEX ACCENT and DEGREE SIGN in a German layout (Mac: only on ISO keyboards), SUPERSCRIPT TWO and TILDE in a French Windows layout, COMMERCIAL AT and NUMBER SIGN in a French Mac layout on ISO keyboards, and LESS-THAN SIGN and GREATER-THAN SIGN in a Swiss German, German, or French Mac layout on ANSI keyboards.)",
,,,
,,"""Help""",SDLK_HELP
,,"""Home""",
,,,
,,"""Insert"" (insert on PC, help on some Mac keyboards (but does send code 73, not 117))",
,,,
,,,
,,"""KBDIllumDown"" (the Keyboard Illumination Down key)",SDLK_KBDILLUMDOWN
,,"""KBDIllumToggle"" (the Keyboard Illumination Toggle key)",SDLK_KBDILLUMTOGGLE
,,"""KBDIllumUp"" (the Keyboard Illumination Up key)",SDLK_KBDILLUMUP
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,"""Left"" (the Left arrow key (navigation keypad))",
,,"""[""",
,,"""Left GUI"" (windows, command (apple), meta)",SDLK_LGUI
,,,
,,,
,,"""Mail"" (the Mail/eMail key)",SDLK_MAIL
,,"""MediaSelect"" (the Media Select key)",SDLK_MEDIASELECT
,,"""Menu""",SDLK_MENU
,,,
,,"""ModeSwitch""",SDLK_MODE
,,"""Mute""",SDLK_MUTE
,,,
,,,
,,,
,,"""Oper""",SDLK_OPER
,,"""Out""",SDLK_OUT
,,,
,,,
,,,
,,"""Paste""",SDLK_PASTE
,,,
,,,
,,"""Power"" (The USB document says this is a status flag, not a physical key - but some Mac keyboards do have a power key.)",SDLK_POWER
,,,
,,"""Prior""",SDLK_PRIOR
,,,
,,,
,,,
,,,
,,,
,,,
,,"""Right GUI"" (windows, command (apple), meta)",SDLK_RGUI
,,"""Right"" (the Right arrow key (navigation keypad))",
,,,
,,,
,,,
,,,
,,"""Select""",SDLK_SELECT
,,,
,,"""Separator""",SDLK_SEPARATOR
,,,
,,"""Sleep"" (the Sleep key)",SDLK_SLEEP
,,"""Space"" (the Space Bar key(s))",
,,"""Stop""",SDLK_STOP
,,,
,,,
,,,
,,"""ThousandsSeparator"" (the Thousands Separator key)",SDLK_THOUSANDSSEPARATOR
,,,
,,"""Undo""",SDLK_UNDO
,,""""" (no name, empty string)",SDLK_UNKNOWN
,,,
,,,
,,"""VolumeDown""",SDLK_VOLUMEDOWN
,,"""VolumeUp""",SDLK_VOLUMEUP
,,,
,,"""WWW"" (the WWW/World Wide Web key)",SDLK_WWW
,,,
,,,
,,,
,,These physical keys do not have corresponding virtual key values,
,,""""" (no name, empty string; used on Asian keyboards, see footnotes in USB doc)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string; Yen)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string; Hangul/English toggle)",(none)
,,""""" (no name, empty string; Hanja conversion)",(none)
,,""""" (no name, empty string; Katakana)",(none)
,,""""" (no name, empty string; Hiragana)",(none)
,,""""" (no name, empty string; Zenkaku/Hankaku)",(none)
,,""""" (no name, empty string; reserved)",(none)
,,""""" (no name, empty string; reserved)",(none)
,,""""" (no name, empty string; reserved)",(none)
,,""""" (no name, empty string; reserved)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string)",(none)
,,""""" (no name, empty string; This is the additional key that ISO keyboards have over ANSI ones, located between left shift and Y. Produces GRAVE ACCENT and TILDE in a US or UK Mac layout, REVERSE SOLIDUS (backslash) and VERTICAL LINE in a US or UK Windows layout, and LESS-THAN SIGN and GREATER-THAN SIGN in a Swiss German, German, or French layout.)",(none)
,,"""#"" (ISO USB keyboards actually use this code instead of 49 for the same key, but all OSes I've seen treat the two codes identically. So, as an implementor, unless your keyboard generates both of those codes and your OS treats them differently, you should generate SDL_SCANCODE_BACKSLASH instead of this code. As a user, you should not rely on this code because SDL will never generate it with most (all?) keyboards.)",(none)
,,These virtual key values do not have corresponding physical keys,
,,"""&""",SDLK_AMPERSAND
,,"""*""",SDLK_ASTERISK
,,"""@""",SDLK_AT
,,"""^""",SDLK_CARET
,,""":""",SDLK_COLON
,,"""$""",SDLK_DOLLAR
,,"""!""",SDLK_EXCLAIM
,,""">""",SDLK_GREATER
,,"""#""",SDLK_HASH
,,"""(""",SDLK_LEFTPAREN
,,"""<""",SDLK_LESS
,,"""%""",SDLK_PERCENT
,,"""+""",SDLK_PLUS
,,"""?""",SDLK_QUESTION
,,"""""""",SDLK_QUOTEDBL
,,""")""",SDLK_RIGHTPAREN
,,"""_""",SDLK_UNDERSCORE
